,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,Ukiah,39.1502,-123.2078,79.59,23,1,8.05,US,1631499208
359,Amga,60.8953,131.9608,65.07,41,10,3.87,RU,1631499136
360,Shingū,33.7333,135.9833,78.91,62,100,1.88,JP,1631499280
361,Tateyama,34.9833,139.8667,80.62,69,100,9.69,JP,1631499280
362,Point Fortin,10.1833,-61.6833,78.87,82,48,12.48,TT,1631499281
363,Yulara,-25.2406,130.9889,71.8,23,0,24.07,AU,1631499281
364,Lompoc,34.6391,-120.4579,62.6,87,75,9.22,US,1631499270
365,Bol,13.4586,14.7147,80.94,71,45,6.71,TD,1631499282
366,Barcelos,41.5388,-8.6151,66.7,78,97,2.73,PT,1631499282
367,Serra Talhada,-7.9919,-38.2983,72.57,75,18,14.58,BR,1631499282
368,Purpe,64.4803,76.6897,42.35,94,100,5.44,RU,1631499283
369,Shimoda,34.6667,138.95,79.36,67,100,11.14,JP,1631499283
370,Alta Floresta,-9.8756,-56.0861,73.31,92,80,2.91,BR,1631499283
371,Vanavara,60.34,102.2797,49.39,70,100,6.35,RU,1631499283
372,Salalah,17.0151,54.0924,80.69,89,75,4.61,OM,1631499284
373,Porto-Novo,6.4965,2.6036,76.48,91,100,6.73,BJ,1631499261
374,Watertown,42.3709,-71.1828,71.8,79,1,3.0,US,1631498598
375,Phonhong,18.5007,102.4166,82.22,82,87,2.66,LA,1631499284
376,Santa Maria,-29.6842,-53.8069,73.35,78,100,6.64,BR,1631499285
377,Big Spring,32.2504,-101.4787,77.13,36,1,9.08,US,1631498993
378,Guane,22.2025,-84.0875,79.3,81,68,4.63,CU,1631499285
379,Pierre,44.3683,-100.351,69.22,70,1,1.01,US,1631499285
380,Den Helder,52.9599,4.7593,58.15,94,90,3.44,NL,1631499286
381,Constitución,-35.3333,-72.4167,51.31,87,100,12.24,CL,1631499286
382,Sidi Ali,36.0998,0.4206,78.21,41,87,3.98,DZ,1631499286
383,Saint George,37.1041,-113.5841,93.16,16,1,1.99,US,1631499093
384,Seybaplaya,19.65,-90.6667,82.22,65,93,7.67,MX,1631499287
385,Rapid Valley,44.0625,-103.1463,72.46,47,1,8.99,US,1631499287
386,Itarema,-2.9248,-39.9167,78.37,77,8,14.7,BR,1631499288
387,Cookeville,36.1628,-85.5016,69.04,92,1,0.0,US,1631499288
388,Egvekinot,66.3167,-179.1667,28.47,74,97,10.51,RU,1631499288
389,Pevek,69.7008,170.3133,31.64,91,100,12.12,RU,1631499289
390,Tornio,65.8481,24.1466,48.22,96,100,7.4,FI,1631499289
391,Praia,14.9215,-23.5087,81.14,83,20,5.75,CV,1631498997
392,Saint-Jovite,46.1186,-74.5966,56.95,82,51,1.61,CA,1631499290
393,Whitianga,-36.8333,175.7,63.01,63,13,12.86,NZ,1631499290
394,Takoradze,4.8845,-1.7554,75.45,95,81,8.5,GH,1631499290
395,Ulladulla,-35.35,150.4667,51.96,80,96,11.81,AU,1631499291
396,Yangi Marg`ilon,40.4272,71.7189,61.5,48,0,6.91,UZ,1631499291
397,Modakeke,7.3833,4.2667,72.21,99,100,1.23,NG,1631499291
398,Bubaque,11.2833,-15.8333,80.58,81,98,7.27,GW,1631499292
399,Torbay,47.6666,-52.7314,54.82,90,99,5.01,CA,1631499292
400,Lālmohan,22.3384,90.7419,83.48,81,100,22.59,BD,1631499293
401,Makarov,48.6333,142.8,58.21,59,45,20.67,RU,1631499293
402,Polovragi,45.1833,23.8,57.97,53,41,5.17,RO,1631499293
403,Bengkulu,-3.8004,102.2655,77.83,88,75,1.72,ID,1631499294
404,Palana,59.1167,159.9667,41.47,66,17,6.26,RU,1631499294
405,Olafsvik,64.8945,-23.7142,53.17,94,100,30.98,IS,1631499294
406,Cumpas,29.9833,-109.7833,83.3,29,0,3.94,MX,1631499295
407,Kampong Chhnang,12.1667,104.55,82.83,73,100,3.96,KH,1631499295
408,Saint-François,46.4154,3.9054,54.84,100,0,0.0,FR,1631499295
409,Sisimiut,66.9395,-53.6735,34.3,81,98,10.49,GL,1631499296
410,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,82.33,46,100,5.59,AR,1631499296
411,Mineiros,-17.5694,-52.5511,79.88,25,99,5.79,BR,1631499296
412,Alyangula,-13.8483,136.4192,83.12,70,8,10.07,AU,1631499297
413,Kodinsk,58.6881,99.1844,50.34,96,100,11.86,RU,1631499297
414,Jinchang,38.4953,102.1739,64.27,57,83,0.29,CN,1631499297
415,Ribnitz-Damgarten,54.25,12.4667,58.89,92,100,11.3,DE,1631499298
416,Waipawa,-41.4122,175.5153,51.12,85,83,26.73,NZ,1631499298
417,Muros,42.7762,-9.0603,63.72,93,96,4.03,ES,1631499299
418,Gillette,44.2911,-105.5022,71.08,34,3,1.99,US,1631499216
419,Nuuk,64.1835,-51.7216,34.41,86,75,14.97,GL,1631499299
420,Labuhan,-6.8844,112.2051,84.18,69,87,10.31,ID,1631499299
421,Sørland,67.667,12.6934,47.34,64,38,26.64,NO,1631499300
422,Haines Junction,60.7522,-137.5108,54.97,52,26,6.76,CA,1631499300
423,Abu Dhabi,24.4667,54.3667,91.42,79,99,9.22,AE,1631499258
424,Farafangana,-22.8167,47.8333,69.39,79,99,11.48,MG,1631499301
425,Kosa,59.9445,54.9977,30.6,96,99,4.14,RU,1631499301
426,Amapá,1.0,-52.0,69.94,99,78,2.42,BR,1631499301
427,Almaguer,1.917,-76.8523,54.57,84,99,4.29,CO,1631499302
428,Paciran,-6.8767,112.3761,84.29,69,69,11.48,ID,1631499303
429,Hirara,24.8,125.2833,84.45,82,93,29.82,JP,1631499303
430,North Richland Hills,32.8343,-97.2289,81.01,53,75,1.99,US,1631499303
431,Rincon,32.296,-81.2354,70.03,88,1,0.0,US,1631499163
432,Xam Nua,20.4197,104.0439,76.21,88,56,1.9,LA,1631499304
433,Yining,29.0361,114.5636,81.99,68,55,5.91,CN,1631499304
434,Katangli,51.7102,143.2326,53.55,62,90,19.55,RU,1631499305
435,Rocha,-34.4833,-54.3333,59.65,97,96,1.43,UY,1631499146
436,Saint-Joseph,-21.3667,55.6167,65.21,79,24,15.52,RE,1631499305
437,Taksimo,56.3444,114.8794,53.31,68,9,0.13,RU,1631499305
438,Santa Cruz del Sur,20.7147,-77.9956,79.3,84,13,14.94,CU,1631499306
439,Deputatsky,69.3,139.9,50.94,43,100,3.29,RU,1631499306
440,Bereda,43.2686,-7.5406,59.31,100,100,1.16,ES,1631499307
441,Fort Nelson,58.8053,-122.7002,55.67,60,82,3.09,CA,1631499307
442,Hamilton,39.1834,-84.5333,76.05,77,1,1.01,US,1631499307
443,Kanniyākumāri,8.0833,77.5667,79.48,80,99,19.37,IN,1631499307
444,Mehamn,71.0357,27.8492,42.64,82,100,8.75,NO,1631499308
445,Kiryat Gat,31.61,34.7642,70.97,71,0,5.26,IL,1631499303
446,Flin Flon,54.7682,-101.865,52.05,57,100,8.81,CA,1631499306
447,Ciudad Bolivar,8.1222,-63.5497,82.69,65,77,12.3,VE,1631499309
448,Gryazovets,58.88,40.2525,52.77,97,100,8.63,RU,1631499309
449,Taoudenni,22.6783,-3.9836,96.37,9,0,4.45,ML,1631499309
450,Horqueta,-23.3428,-57.0597,88.02,32,88,9.17,PY,1631499310
451,Henties Bay,-22.116,14.2845,54.86,95,13,4.16,NA,1631499310
452,Sabang,5.8933,95.3214,81.55,75,100,22.57,ID,1631499310
453,Dali,25.7,100.1833,69.37,78,71,1.66,CN,1631499311
454,Ulu-Telyak,54.9086,56.9669,46.11,96,100,3.71,RU,1631499311
455,Ushtobe,45.2514,77.9838,61.16,41,0,9.08,KZ,1631499311
456,Huanan,46.2167,130.5167,62.76,46,100,9.53,CN,1631499312
457,Vale da Amoreira,39.0697,-7.6985,67.62,76,100,3.83,PT,1631499312
458,Sundsvall,62.3913,17.3063,46.96,83,20,12.66,SE,1631499313
459,Afonso Cláudio,-20.0742,-41.1239,69.46,68,7,1.83,BR,1631499313
460,Mucurapo,10.6667,-61.5333,79.27,85,97,7.94,TT,1631499313
461,Lima,-12.0432,-77.0282,59.25,82,90,10.36,PE,1631499274
462,Condado,21.8767,-79.8403,79.65,90,100,7.09,CU,1631499314
463,Sydney,-33.8679,151.2073,60.48,62,75,1.99,AU,1631499086
464,Tanabi,-20.6264,-49.6492,79.29,27,14,5.17,BR,1631499314
465,Sur,22.5667,59.5289,85.82,61,53,3.83,OM,1631499315
466,Ilulissat,69.2167,-51.1,32.02,64,75,13.8,GL,1631499315
467,Vallenar,-28.5708,-70.7581,55.9,58,0,1.77,CL,1631499315
468,Rio Grande,-32.035,-52.0986,64.94,91,96,12.88,BR,1631499275
469,Ucluelet,48.9329,-125.5528,65.05,87,73,10.4,CA,1631499176
470,Cockburn Town,21.4612,-71.1419,83.79,75,0,19.51,TC,1631499316
471,Noumea,-22.2763,166.4572,85.98,61,0,10.18,NC,1631499293
472,Isla Mujeres,21.2311,-86.731,84.25,83,87,9.75,MX,1631499316
473,Beidao,34.5686,105.8933,72.95,55,78,6.04,CN,1631499317
474,Garoowe,8.4054,48.4845,73.98,67,18,25.7,SO,1631499317
475,Adré,13.4667,22.2,70.09,85,99,6.67,TD,1631499317
476,Athabasca,54.7169,-113.2854,50.83,87,49,8.99,CA,1631499306
477,San Juan,-31.5375,-68.5364,66.78,9,0,8.48,AR,1631499075
478,Tanout,14.9709,8.8879,86.29,44,97,10.2,NE,1631499318
479,Naryan-Mar,67.6713,53.087,32.9,93,17,2.3,RU,1631499318
480,Torrelavega,43.3494,-4.0479,67.37,97,100,5.73,ES,1631499318
481,Nizhniy Baskunchak,48.2198,46.8311,63.27,69,100,4.12,RU,1631499319
482,Portobelo,9.55,-79.65,76.6,84,100,2.35,PA,1631499319
483,Galesong,-5.3166,119.3661,78.82,76,97,6.91,ID,1631499319
484,Vardø,70.3705,31.1107,44.33,80,100,18.03,NO,1631499320
485,Mahanoro,-19.9,48.8,67.62,87,91,1.61,MG,1631499320
486,Terrace,54.5163,-128.6035,58.42,96,100,1.16,CA,1631499162
487,Ruidoso,33.3317,-105.673,62.8,44,1,11.5,US,1631499297
488,Shelburne,44.0787,-80.2041,58.37,56,100,8.21,CA,1631498969
489,Mayskiy,47.6931,40.1025,60.21,63,40,7.34,RU,1631499321
490,Puerto Varas,-41.3195,-72.9854,41.22,100,90,1.14,CL,1631499321
491,Springbok,-29.6643,17.8865,47.75,91,100,3.27,ZA,1631499322
492,Namatanai,-3.6667,152.4333,82.78,76,100,11.86,PG,1631499322
493,Nivala,63.9167,24.9667,53.69,98,100,8.46,FI,1631499322
494,Naze,28.3667,129.4833,85.12,82,100,16.51,JP,1631499323
495,Fukuechō,32.6881,128.8419,77.36,94,75,8.05,JP,1631499323
496,Puqi,29.7167,113.8833,81.66,67,9,6.98,CN,1631499324
497,Kathu,7.9178,98.3332,80.42,79,100,16.28,TH,1631499324
498,Maniitsoq,65.4167,-52.9,35.53,68,8,15.55,GL,1631499324
499,Mawlamyine,16.4914,97.6256,79.09,86,93,4.9,MM,1631499325
500,South Venice,27.0531,-82.4243,78.78,94,90,4.61,US,1631499325
501,Xining,36.6167,101.7667,61.52,65,100,3.51,CN,1631499316
502,Guaratinga,-16.5667,-39.5667,74.07,96,0,2.13,BR,1631499326
503,Bogandé,12.9714,-0.1436,75.9,78,19,7.25,BF,1631499326
504,Blagoyevo,63.3667,47.9167,36.05,88,70,2.73,RU,1631499326
505,Gushikawa,26.3544,127.8686,85.08,88,90,20.71,JP,1631499327
506,Coquimbo,-29.9533,-71.3436,53.33,87,0,3.44,CL,1631499327
507,Mutoko,-17.397,32.2268,52.23,80,26,4.0,ZW,1631499327
508,Mānikpur,25.0667,81.1167,81.3,83,72,4.94,IN,1631499328
509,Marabu,4.4148,114.0089,86.14,79,20,3.44,MY,1631499328
510,Tezu,27.9167,96.1667,88.0,57,55,1.25,IN,1631499328
511,Charlestown,-32.95,151.6667,65.26,53,44,5.99,AU,1631499329
512,Pundaguitan,6.3711,126.1689,82.67,71,90,1.52,PH,1631499329
513,Dudinka,69.4058,86.1778,47.84,78,100,15.68,RU,1631499330
514,Husavik,66.0449,-17.3389,48.11,82,100,12.39,IS,1631499330
515,Honiara,-9.4333,159.95,88.12,61,52,9.82,SB,1631499330
516,Chapayevka,47.4711,36.3451,60.73,66,53,7.11,UA,1631499331
517,Oyama,36.3,139.8,78.69,62,100,1.72,JP,1631499331
518,Forio,40.7342,13.8646,67.89,64,22,6.85,IT,1631499331
519,Okhotsk,59.3833,143.3,59.2,53,9,5.41,RU,1631499332
520,Cambridge,43.3601,-80.3127,64.49,96,90,2.3,CA,1631499154
521,Rafaela,-31.2503,-61.4867,65.98,53,0,8.01,AR,1631499333
522,Road Town,18.4167,-64.6167,82.99,77,100,18.25,VG,1631499333
523,Forbes,-33.3833,148.0167,55.76,44,14,9.01,AU,1631499333
524,Mīnāb,27.1467,57.0801,83.7,45,0,2.57,IR,1631499334
525,Iqaluit,63.7506,-68.5145,33.53,75,90,12.66,CA,1631499334
526,Ubari,26.5921,12.7805,82.71,20,4,6.53,LY,1631499334
527,Machico,32.7,-16.7667,71.51,82,40,8.05,PT,1631499334
528,Bogorodskoye,56.55,37.8833,60.78,95,73,6.53,RU,1631499335
529,São João da Barra,-21.6403,-41.0511,72.73,89,6,8.81,BR,1631499335
530,Laguna,38.421,-121.4238,89.69,30,1,4.0,US,1631499252
531,Akim Swedru,5.8938,-1.0164,72.55,99,65,2.82,GH,1631499336
532,Saldanha,-33.0117,17.9442,44.65,70,9,15.41,ZA,1631499336
533,Storforshei,66.4043,14.5233,39.65,97,65,5.84,NO,1631499336
534,Valle Hermoso,25.6667,-97.8333,76.82,82,100,12.39,MX,1631499337
535,Whitehorse,60.7161,-135.0538,56.17,58,75,14.97,CA,1631499329
536,Viedma,-40.8135,-62.9967,60.84,26,61,36.98,AR,1631499337
537,Maţāy,28.419,30.7792,81.16,43,0,5.06,EG,1631499337
538,Maputo,-25.9653,32.5892,61.23,86,0,7.36,MZ,1631499338
539,Lukaya,-0.1489,31.8748,67.96,65,100,1.97,UG,1631499338
540,Sedona,34.8697,-111.761,82.42,34,1,8.05,US,1631499300
541,Nong’an,44.382,125.1685,61.21,86,100,7.18,CN,1631499338
542,Karratha,-20.7377,116.8463,77.95,32,7,15.75,AU,1631499339
543,Bara,10.3744,10.7288,73.17,92,48,6.44,NG,1631499339
544,Pamanukan,-6.2842,107.8106,80.56,74,100,7.74,ID,1631499339
545,San Jose,37.3394,-121.895,74.98,49,1,5.01,US,1631499129
546,Boden,65.8252,21.6886,48.2,94,100,8.61,SE,1631499340
547,Smithers,54.7804,-127.1743,55.02,67,96,4.41,CA,1631499306
548,Tessalit,20.1986,1.0114,92.08,15,36,5.32,ML,1631499340
549,Taltal,-25.4,-70.4833,60.33,68,100,5.23,CL,1631499341
550,Kalmunai,7.4167,81.8167,81.7,61,98,3.78,LK,1631499341
551,Oddur,4.1213,43.8894,68.85,85,58,13.89,SO,1631499341
552,Poddor'ye,57.4695,31.1156,57.27,98,99,7.34,RU,1631499342
553,Pangody,65.85,74.4859,44.85,97,100,12.53,RU,1631499342
554,Tarko-Sale,64.9225,77.785,43.99,95,100,9.26,RU,1631499342
555,Port Macquarie,-31.4333,152.9167,63.97,66,62,12.77,AU,1631499263
556,Kaabong,3.4836,34.1492,63.16,67,58,10.04,UG,1631499343
557,Verkhoyansk,67.5447,133.385,57.92,40,100,2.28,RU,1631499343
558,Quatre Cocos,-20.2078,57.7625,66.09,78,17,21.25,MU,1631499344
559,Juneau,58.3019,-134.4197,53.71,96,90,4.61,US,1631499234
560,Leh,34.1667,77.5833,52.43,56,14,5.91,IN,1631499344
561,Dunkirk,51.05,2.3667,54.82,93,98,7.87,FR,1631499345
562,Bilāspur,22.0833,82.15,76.96,91,100,1.14,IN,1631499345
563,Necochea,-38.5473,-58.7368,49.84,85,0,6.87,AR,1631499345
564,Lorengau,-2.0226,147.2712,85.1,69,100,10.07,PG,1631499346
565,Sotik Post,-0.7813,35.3416,52.25,89,81,4.61,KE,1631499346
566,Wajima,37.4,136.9,75.88,60,75,2.3,JP,1631499347
567,Kiama,-34.6833,150.8667,51.26,92,64,14.14,AU,1631499347
568,Balakovo,52.0278,47.8007,61.86,49,99,4.85,RU,1631499347
569,Oranjestad,12.524,-70.027,84.15,79,20,20.71,AW,1631499348
570,Romodanovo,54.4275,45.3296,55.8,90,37,7.27,RU,1631499348
571,College,64.8569,-147.8028,63.97,36,75,10.36,US,1631499348
572,Urusha,54.05,122.9,50.52,94,100,0.6,RU,1631499349
573,Thenzawl,23.3167,92.75,76.24,86,68,1.77,IN,1631499349
574,Kutum,14.2,24.6667,71.26,73,100,8.08,SD,1631499349
575,Suntar,62.1444,117.6319,54.18,75,100,7.38,RU,1631499132
576,Birmingham,33.5207,-86.8025,74.46,87,20,0.0,US,1631499309
577,Mae Sot,16.7167,98.5667,80.55,78,75,0.0,TH,1631499350
578,Almaznyy,48.0448,40.045,59.14,60,15,4.61,RU,1631499350
579,Mushie,-3.0167,16.9,72.52,84,99,2.24,CD,1631499350
580,Winslow,35.0242,-110.6974,85.96,17,1,1.01,US,1631499351
581,Bouna,9.2667,-3.0,70.38,96,33,3.22,CI,1631499351
582,Kabalo,-6.05,26.9167,76.95,56,72,3.02,CD,1631499351
583,Sumbawanga,-7.9667,31.6167,59.25,62,50,4.16,TZ,1631499151
